skills,career
python machine learning deep learning statistics sql data science,data scientist
python pandas numpy datavisualization sql analytics,data analyst
biology chemistry anatomy medical diagnosis patient care,doctor
c programming system design algorithms software engineering backend,software engineer
html css javascript react ui ux frontend web design,frontend developer
python ai neural networks deep learning data modeling,data scientist
excel dashboards reporting sql business analysis,data analyst
biology surgery clinical medicine hospital treatment,doctor
java spring backend api microservices system design,software engineer
html css javascript responsive web frontend design,frontend developer
